Card Name,Cost,Power,Ability,Variants,Series
"Untapped.gg Logo","","","","1",""
"MARVEL SNAP icon","","","","1",""
"Player collection level icon","","","","1",""
"Punisher","","","","1",""
"Wolfsbane","","","","1",""
"Carnage","","","","1",""
"Killmonger","","","","1",""
"Venom","","","","1",""
"Death","","","","1",""
"Wolverine","","","","1",""
"Magik","","","","1",""
"Iron Man","","","","1",""
"Nico Minoru","","","","1",""
"Ant Man","","","","1",""
"Deathlok","","","","1",""
"Knull","","","","1",""
"Mystique","","","","1",""
"X-23","","","","1",""
"Blade","","","","1",""
"Deadpool","","","","1",""
"Shang-Chi","","","","1",""
"Blue Marvel","","","","1",""
"Armor","","","","1",""
"Odin","","","","1",""
"Mister Fantastic","","","","1",""
"Arnim Zola","","","","1",""
"Captain America","","","","1",""
"Spectrum","","","","1",""
"Sera","","","","1",""
"Ka-Zar","","","","1",""
"Lady Sif","","","","1",""
"Ironheart","","","","1",""
"Cosmo","","","","1",""
"Wong","","","","1",""
"Colossus","","","","1",""
"Apocalypse","","","","1",""
"Enchantress","","","","1",""
"Morbius","","","","1",""
"Nightcrawler","","","","1",""
"Luke Cage","","","","1",""
"The Hood","","","","1",""
"Gambit","","","","1",""
"Onslaught","","","","1",""
"Absorbing Man","","","","1",""
"Brood","","","","1",""
"Bucky Barnes","","","","1",""
"Jubilee","","","","1",""
"Shadow King","","","","1",""
"Rogue","","","","1",""
"Silver Surfer","","","","1",""
"Lizard","","","","1",""
"M.O.D.O.K.","","","","1",""
"Klaw","","","","1",""
"Nova","","","","1",""
"The Infinaut","","","","1",""
"Iceman","","","","1",""
"Quinjet","","","","1",""
"Medusa","","","","1",""
"Dracula","","","","1",""
"Corvus Glaive","","","","1",""
"Hulkbuster","","","","1",""
"Ultron","","","","1",""
"Sunspot","","","","1",""
"Legion","","","","1",""
"Hazmat","","","","1",""
"Hawkeye","","","","1",""
"Ravonna Renslayer","","","","1",""
"Colleen Wing","","","","1",""
"Electro","","","","1",""
"Psylocke","","","","1",""
"Namor","","","","1",""
"Scorn","","","","1",""
"Sabretooth","","","","1",""
"Mockingbird","","","","1",""
"Misty Knight","","","","1",""
"White Tiger","","","","1",""
"Jessica Jones","","","","1",""
"Angela","","","","1",""
"Surge","","","","1",""
"Cyclops","","","","1",""
"Patriot","","","","1",""
"Mobius M. Mobius","","","","1",""
"Iron Patriot","","","","1",""
"The Collector","","","","1",""
"Scarlet Witch","","","","1",""
"Black Panther","","","","1",""
"Wave","","","","1",""
"Jeff the Baby Land Shark","","","","1",""
"Alioth","","","","1",""
"Doctor Doom","","","","1",""
"Dazzler","","","","1",""
"Hulk","","","","1",""
"Storm","","","","1",""
"Hawkeye Kate Bishop","","","","1",""
"Victoria Hand","","","","1",""
"Mister Negative","","","","1",""
"Lockjaw","","","","1",""
"Khonshu","","","","1",""
"Adam Warlock","","","","1",""
"Iron Lad","","","","1",""
"Mirage","","","","1",""
"Vision","","","","1",""
"Ebony Maw","","","","1",""
"Scorpion","","","","1",""
"Forge","","","","1",""
"Super-Skrull","","","","1",""
"Bishop","","","","1",""
"The Living Tribunal","","","","1",""
"She-Hulk","","","","1",""
"Abomination","","","","1",""
"Kraven","","","","1",""
"Jane Foster Mighty Thor","","","","1",""
"Shocker","","","","1",""
"Cassandra Nova","","","","1",""
"Sentry","","","","1",""
"Misery","","","","1",""
"Moon Girl","","","","1",""
"Elektra","","","","1",""
"Wasp","","","","1",""
"Quicksilver","","","","1",""
"Sentinel","","","","1",""
"High Evolutionary","","","","1",""
"Taskmaster","","","","1",""
"Nick Fury","","","","1",""
"Annihilus","","","","1",""
"Eson","","","","1",""
"Miles Morales Spider-Man","","","","1",""
"Gorr the God Butcher","","","","1",""
"War Machine","","","","1",""
"Sage","","","","1",""
"Wiccan","","","","1",""
"Sam Wilson Captain America","","","","1",""
"Juggernaut","","","","1",""
"Skaar","","","","1",""
"Frigga","","","","1",""
"Silk","","","","1",""
"Bast","","","","1",""
"Domino","","","","1",""
"The Thing","","","","1",""
"Sebastian Shaw","","","","1",""
"Cerebro","","","","1",""
"Deafening Chord","","","","1",""
"Okoye","","","","1",""
"Valkyrie","","","","1",""
"Howard the Duck","","","","1",""
"Prowler","","","","1",""
"Mister Sinister","","","","1",""
"Miek","","","","1",""
"Captain Carter","","","","1",""
"Batroc the Leaper","","","","1",""
"Goose","","","","1",""
"Mercury","","","","1",""
"Speed","","","","1",""
"Pixie","","","","1",""
"Darkhawk","","","","1",""
"Hydro-Man","","","","1",""
"Hit-Monkey","","","","1",""
"Goliath","","","","1",""
"Scream","","","","1",""
"Esme Cuckoo","","","","1",""
"Rockslide","","","","1",""
"Ajax","","","","1",""
"Malekith","","","","1",""
"Havok","","","","1",""
"Agent Venom","","","","1",""
"Fantasticar","","","","1",""
"Surtur","","","","1",""
"Squirrel Girl","","","","1",""
"America Chavez","","","","1",""
"Merlin","","","","1",""
"Weapon X Wolverine","","","","1",""
"Swarm","","","","1",""
"Nebula","","","","1",""
"Cable","","","","1",""
"Arishem","","","","1",""
"Thanos","","","","1",""
"Nimrod","","","","1",""
"Hobgoblin","","","","1",""
"Zabu","","","","1",""
"Ghost Rider","","","","1",""
"Headpool","","","","1",""
"Moira X","","","","1",""
"Hela","","","","1",""
"Galactus","","","","1",""
"Black Cat","","","","1",""
"Shuri","","","","1",""
"Green Goblin","","","","1",""
"Red Guardian","","","","1",""
"Rocket Raccoon","","","","1",""
"Magneto","","","","1",""
"Lady Deathstrike","","","","1",""
"Moon Knight","","","","1",""
"Kitty Pryde","","","","1",""
"Devil Dinosaur","","","","1",""
"Symbiote Spider-Man","","","","1",""
"Gladiator","","","","1",""
"Grand Master","","","","1",""
"Agent 13","","","","1",""
"Ghost-Spider","","","","1",""
"Agent Coulson","","","","1",""
"Spider-Man","","","","1",""
"Attuma","","","","1",""
"Galacta","","","","1",""
"Giganto","","","","1",""
"White Queen","","","","1",""
"Spider-Ham","","","","1",""
"Cannonball","","","","1",""
"Heimdall","","","","1",""
"Debrii","","","","1",""
"Destroyer","","","","1",""
"Blob","","","","1",""
"Uncle Ben","","","","1",""
"Werewolf By Night","","","","1",""
"The Hunger","","","","1",""
"Marvel Boy","","","","1",""
"Zombie Scarlet Witch","","","","1",""
"Dormammu","","","","1",""
"Professor X","","","","1",""
"Korg","","","","1",""
"Kang","","","","1",""
"Beast","","","","1",""
"Quake","","","","1",""
"Nakia","","","","1",""
"Zombie Giant-Man","","","","1",""
"Daken","","","","1",""
"Stegron","","","","1",""
"Hellcow","","","","1",""
